Adresse,Type de lieu,Horaire,Position,Mode ped,COORD_N_Y,COORD_E_X,LAT,LON,Field10,Field11
Chemin des Rayes 8 - 1245 Collonge-Bellerive,Parking des Rayes,24/24,Au niveau des caisses du parking,OUI,1121467.71,2504354.93,46.237831,6.19866,,
Chemin du Bois-Des-Arts 52 (1226 Thonex),Mairie de Thônex (Réception),lundi - vendredi 08h00-17h00,Entrée réception Mairie dans boitier gris,NON,1116007.23,2504152.52,46.188688,6.197158,,
Chemin du Bouchat 15 (1252 Meinier),Centre sportif de Rouelbeau,24/24,"Contre le mur du bâtiment vestiaires, l'angle avec le côté restaurant",OUI,1122146.57,2505959.67,46.24457,6.21894,,
Chemin du Chateau-Bloch 1 (1219 Le Lignon),Centre de quartier des Libellules,24/24,Sur le mur de la chaufferie,NON,1118022.66,2497155.9,46.205866,6.106107,,
Chemin du Faubourg-de-Cruseilles 16 (1227 Carouge GE),Centre de formation Académie Suisse de sécurité,Lundi - vendredi 08h00-18h00,Dans le couloir à droite après l'entrée dans le centre,NON,1115163.66,2499434.59,46.18042187,6.136179017,,
Chemin du Grand-Champ 11 (1219 Aire),Ecole d'Aïre,lundi-vendredi 8:15-17:30,Hall d'entrée - salle de gym,NON,1117439.07,2496698.36,46.200446,6.100302,,
Chemin du Pont-de-Ville 15 (1224 Chene-Bougeries),Service des Routes,Lun-Ven: 7h-12h / 13h-16h,en face du réfectoir,OUI,1116980.82,2503736.99,46.197389,6.19161,,
Chemin du Pré-d'Orsat 10 - 1245 Collonge-Bellerive,Quadrilatère - Pharmacie,24/24,Devant la pharmacie AMAVITA côté place publique,OUI,1123202.85,2504913.09,46.253517,6.205541,,
Chemin du Ruisseau 39 (1216 Cointrin),Ecole de Cointrin,24/24,A l'entrée principale de la salle de gymnastique,OUI,1120156.64,2497117.0,46.225275,6.105307,,
Chemin Gerard-De-TERNIER 2 (1213 Petit-Lancy),h2o facilities sa,Lundi-jeudi: 07h00-17h00 vendredi: 07h-15h,"Dans la halle à droite, en direction des bureaux",-,1116789.77,2497270.49,46.194509,6.107958,,
Chemin Jean-Baptiste Vandelle 1 - 1290 Versoix,WC Gare CFF - Versoix,24/24,"Contre les WC attenant à la gare, au niveau du passage sous-voie",OUI,1126169.05,2501901.68,46.279423,6.166034,,
Chemin Nicolas-BOGUERET 12BIS (1219 Aire),Maison de quartier Aire Le Lignon,lun 8:30-11:30 / mar 14:00-20:00 / mer 8:00-18:00 / jeu 8:30-18:00 / ven 11:30-18:00,Hall d'entrée,NON,1117462.94,2496476.83,46.200662,6.097413,,
Chloé Mégevand Lador - Ch. De la Planta 35 - 1223 Cologny,Immeuble,Lu - Ve 08:30 - 18:00,A l'entrée tout à droite derrière bureau,OUI,1118919.05,2503525.21,46.21478856,6.188432156,,
Cite VIEUSSEUX 1 (1203 Geneve),Bureaux de la SCHG (Société Coopérative d'Habitation Genève),Lundi-vendredi 8h00-17h15,Réception de la SCHG,OUI,1118912.9,2498286.89,46.213988,6.120568,,
CMCH - 91 rue de lyon - 1203 Genève,Immeuble,Lu - Ve 08:00 - 17:30,Dans la salle de soin / Ascenceur,NON,1118321.79,2498533.34,46.20868149,6.123884367,,
Dr. Michel Chalier - Rue du Stand 40 - 1204 Genève,Immeuble pas de code à la porte,Lu - Ve 08:00 - 18:00,A l'entrée au fond à gauche,-,1117708.04,2499629.34,46.20332576,6.138215246,,
Esplanade de Pont-Rouge 2 - 1227 Carouge,Ecole Club - Réception,Lu - Ve 06:30 - 19:00 / Sa 08:00 - 13:00,AED à la réception à l'entrée du bâtiment à droite,OUI,1115945.14,2498749.21,46.18733765,6.127196455,,
Place de Cornavin 7 - 1201 Genève,MIGROS Cornavin Gare,Lu - Di 06:00 - 22:00,Au niveau des caisses proche de la sortie,OUI,1118518.5,2500041.1,46.21067669,6.143375562,,
"18 ch. De la Bergerie, 1236 Cartigny",Salle Communale,24/24,"Sous le couvert de la salle communale, côté Mairie",OUI,1114578.45,2490607.15,46.173769,6.02206,,
Avenue Cardinal-MERMILLOD 1 (1227 Carouge GE),Clinique de Carouge,7h00 - 23h00,Service des urgences,OUI,1115853.74,2499928.9,46.186745,6.1425,,
Avenue de Bel-Air 12 - 1225 Chêne-Bourg,MIGROS Chêne-Bourg,Lu - Me 08:00 - 19:00 / Je 08:00 - 20:00  / Ve 08:00 - 19:30 / Sa 08:00 - 18:00,Entrée directement à droite / Au niveau des bacs de fleurs,OUI,1116874.5,2503928.1,46.19645664,6.194073201,,
Avenue de Cavoitanne 99 (1287 Laconnex),Centre sportif,24/24,À côté de l'entrée de la buvette du stade,-,1113044.8,2491893.52,46.160207,6.03912,,
Avenue de Chatelaine 81 (1219 Chatelaine),Bibliothèque de Châtelaine,lun 15:00-19:00 / mar 14:00-18:00 / mer 9:00-13:00 14:00-18:00 / jeu 13:00-18:00,Bureau,NON,1118591.75,2497659.68,46.210985,6.112521,,
Avenue de Crozet 39 (1219 Chatelaine),Centre de quartier de Balexert,Mar 16:00-21:00 / Mer 9:00-11:30 14:00-18:00 / Jeu 16:00-18:00 / Ven 16:00-18:00,Grande salle,NON,1119186.42,2497541.78,46.216321,6.110876,,
Avenue de Feuillasse 24 - 1217 Meyrin,MIGROS Meyrin,Lu - Me 08:30 - 19:00 / Me-Je 08:30 - 19:30  / Sa 08:00 - 18:00,Dans le magasin au niveau des caisses Self-checkout (florissimo),OUI,1120958.21,2495366.63,46.23190866,6.082268173,,
Avenue de Feuillasse 25 (1217 Meyrin),Ecole De Livron,"lu-ve 06h30 à 18h00,  hors vacances scolaires",A l'intérieur de la salle de gymnastique,OUI,1120879.21,2495366.43,46.231159,6.082316,,
Avenue de Sainte-Clotilde 9 (1205 Geneve),Association Union Chrétiennes de Genève,lundi-vendredi 07h00-21h00 / samedi 07h00-12h00,"A droite, 3 mètres après la 2ème porte d'entrée",OUI,1117405.77,2499341.25,46.20056667,6.134528823,,
Avenue de Secheron 6 (1202 Geneve),Natural Le Coultre SA,lundi - vendredi 07h00-18h00,Dans le couloir de la caféteria,NON,1119610.58,2500484.93,46.220587,6.148874,,
Avenue de Vaudagne 39 (1217 Meyrin),Ecole de Bellavista II,24/24,"Dans le préau de l'école,  vers l'entrée de la loge du concierge",OUI,1121297.19,2495111.04,46.235157,6.078315,,
Avenue de Vaudagne 6 (1217 Meyrin),Ecole de Meyrin-Village,24/24,A côté de l'entrée de la salle de gymnastique,OUI,1120722.29,2494611.75,46.229602,6.072945,,
Avenue des Amazones 25 (1224 Chene-Bougeries),Ecole de la Gradelle,"Lu, ma, je, ve 8:30 - 16:30 / me 8:30 - 11:30",-,-,1117494.58,2503202.49,46.201781,6.184399,,
Avenue des Grandes-Communes 27 - 1213 Onex,Pharmacie Munier,24/24,Sur la façade de la pharmacie à droite,OUI,1116476.54,2496921.88,46.19183958,6.103415214,,
